path,lines,status,reached_from
config/storage.js,9,unreachable,-
config/urlConfig.js,270,live,app.js
createTavusInterview.js,72,unreachable,-
handlers/createPaymentIntent.js,59,unreachable,-
handlers/createTavusInterview.js,463,live,routes/createTavusInterview.js
handlers/generateReport.js,1,unreachable,-
handlers/recordingReady.js,497,unreachable,-
handlers/resumeUpload.js,132,unreachable,-
handlers/tavusWebhook.js,89,unreachable,-
jobs/sendNightlyDigests.js,99,unreachable,-
lib/createTavusInterviewInternal.js,70,unreachable,-
lib/stripeClient.js,13,live,routes/adminBilling.js
lib/tavusClient.js,89,unreachable,-
lib/tavusDocuments.js,262,live,app.js
middleware/auth.js,1,unreachable,-
routes/authPing.js,32,unreachable,-
routes/candidates.js,96,unreachable,-
src/data/pronunciation/dentalSeed.js,64,test-only,test/pronunciation-registry.test.js
src/lib/platformHealth/index.js,74,live,src/lib/adminMetricsService.js
src/lib/pronunciationDiscovery.js,75,test-only,test/pronunciation-discovery.test.js
src/lib/pronunciationRegistry.js,136,test-only,test/pronunciation-registry.test.js
src/lib/smsDeliveryCallbackContract.js,35,test-only,test/sms-c0-contract.test.js
src/lib/tavusPronunciationSync.js,188,test-only,test/tavus-pronunciation-sync.test.js
src/middleware/auth.js,347,live,app.js
src/middleware/requireAuth.js,4,unreachable,-
src/middleware/withClientScope.js,4,unreachable,-
test-upload.js,23,unreachable,-
test-utc.js,7,unreachable,-
testResumeAnalysis.js,22,unreachable,-
utils/jdParser.js,95,live,generateRubric.js
utils/mailer.js,802,live,app.js
utils/pdfRenderer.js,95,live,routes/adminBilling.js
utils/pg.js,39,unreachable,-
utils/renderCandidateReport.js,200,live,routes/reportsPdf.js
utils/renderMembershipAgreement.js,305,live,routes/adminBilling.js
utils/sendEmailOtp.js,37,unreachable,-
